002,HINDI COURSE-A
003,URDU COURSE-A
004,PUNJABI
005,BENGALI
006,TAMIL
007,TELUGU
008,SINDHI
009,MARATHI
010,GUJARATI
011,MANIPURI
012,MALAYALAM
013,ORIYA
013,ODIA
014,ASSAMESE
015,KANNADA
016,ARABIC
017,TIBETAN
018,FRENCH
020,GERMAN
021,RUSSIAN
023,PERSIAN
024,NEPALI
025,LIMBOO
026,LEPCHA
031,MUSIC KAR.VOCAL
031,MUSIC CAR.VOCAL
032,MUSIC KAR.INS.MEL.
032,MUSIC CAR.INS.MEL.
033,MUSIC KAR.INS.PER.
033,MUSIC CAR.INS.PER.
034,MUSIC HIND.VOCAL
035,MUSIC HIND.INS.MEL
036,MUSIC HIND.INS.PER
041,MATHEMATICS
049,PAINTING
064,HOME SCIENCE
076,NATIONAL CADET CORP (NCC)
076,NATIONAL CADET CORPS(NCC)
085,HINDI COURSE-B
086,SCIENCE
087,SOCIAL SCIENCE
089,TELEGU
092,BODO
093,TANGKHUL
094,JAPANESE
095,BHUTIA
096,SPANISH
097,KASHMIRI
098,MIZO
099,BAHASA MALAYA
099,BAHASA MELAYU
101,ENGLISH COMM.
122,COMM. SANSKRIT
131,RAI
132,GURUNG
133,TAMANG
134,SHEPRA
136,THAI
154,ELEM. OF BUSINESS
165,FOUNDATION OF I T
166,INFORMATION & COMM. TECH (ICT)
184,ENGLISH LNG & LIT.
241,APPLIED MATHEMATICS
254,ELEM BOOK-K & ACCY
303,URDU COURSE-B
354,TYPEWRITING-ENG
354,E-TYPEWRITING-ENG
401,RETAILING(O)
402,INFO TECHNOLOGY(O)
403,SECURITY(O)
404,AUTOMOBILE TECH(O)
405,CONCEPT OF MONEY MANAGEMENT(O)
406,INYTRODUCTION TO TOURISM(O)
407,BEAUTY & WELLNESS(O)
408,INTRODUCTORY AGRICULTURE(O)
409,FOOD PRODUCTION(O)
410,FRONT OFFICE OPERATIONS(O)
411,BANKING & INSURANCE(O)
412,MARKETING & SALES(O)
413,HEALTH CARE SERVICES(O)
454,TYPEWRITING-HINDI
454,E-TYPEWRITING-HIN
,
